,elapsed_time_seconds,distance_meters,elev_high_meters,elev_low_meters,average_heartrate,sport_type
0,1814,6054.0,59.6,47.4,,Run
1,2226,5288.0,26.8,19.4,,Run
2,1014,2715.0,11.6,5.4,,Run
3,9968,42565.0,35.6,10.0,171.6,Run
4,2601,4967.0,36.6,29.4,109.6,Run
5,2084,5775.0,32.6,22.4,122.8,Run
6,3783,12065.0,59.4,35.4,133.5,Run
7,3471,10843.0,49.4,33.8,,Run
8,4896,11303.0,59.8,38.4,,Run
9,4707,15556.0,7.8,-4.8,143.5,Run
10,4116,12310.0,12.2,-1.8,,Run
11,4702,16137.0,9.0,-0.2,144.0,Run
12,3794,11158.0,13.2,-0.4,,Run
13,535,1893.0,53.6,45.6,145.4,Run
14,7746,18977.0,65.6,30.6,143.1,Run
15,2705,8496.0,35.6,24.4,,Run
16,4595,12681.0,38.0,27.2,,Run
17,2486,7379.0,55.4,40.6,,Run
18,6216,23234.0,68.2,31.6,151.5,Run
19,3487,12276.0,51.8,29.4,134.2,Run
20,4163,12117.0,161.2,133.4,,Run
21,3473,10307.0,45.4,30.0,,Run
22,6245,14012.0,1232.4,891.4,158.4,TrailRun
23,1968,5474.0,1075.2,905.4,150.0,TrailRun
24,2115,3684.0,1740.4,1387.0,148.4,TrailRun
25,3600,6000.0,0.0,0.0,,Run
26,4969,12127.0,1288.4,766.6,145.8,TrailRun
27,2404,5602.0,1268.4,900.2,152.0,TrailRun
28,2667,4783.0,1415.8,990.0,148.1,TrailRun
29,4362,8298.0,1738.4,1157.8,150.9,TrailRun
30,2356,3628.0,1559.0,1438.6,135.9,TrailRun
31,8604,16185.0,1142.2,763.8,148.9,TrailRun
32,4586,13025.0,1460.4,788.4,157.2,TrailRun
33,3188,9012.0,1517.8,1364.8,161.1,TrailRun
34,3859,6109.0,1514.6,1400.6,132.5,TrailRun
35,2300,5039.0,1178.6,783.8,161.9,TrailRun
36,3375,11602.0,291.8,223.4,152.0,TrailRun
37,3019,7195.0,290.0,222.8,,TrailRun
38,5591,17487.0,51.4,29.4,,Run
39,3894,10973.0,133.8,42.8,,TrailRun
40,12133,26535.0,74.6,29.6,152.3,TrailRun
41,3828,13161.0,45.6,30.8,,Run
42,3447,10770.0,44.4,23.6,136.7,Run
43,2242,6258.0,53.0,41.4,,Run
44,8082,22826.0,54.8,27.0,141.9,Run
45,5424,15552.0,143.0,42.6,,TrailRun
46,8146,25275.0,73.8,32.6,145.1,TrailRun
47,3781,12369.0,122.8,90.8,,Run
48,4001,11631.0,33.6,22.0,,Run
49,2357,7231.0,94.4,74.4,,Run
50,4856,16954.0,42.0,36.6,148.1,Run
51,3673,10337.0,44.8,34.6,,Run
52,4820,16278.0,42.0,28.6,134.1,Run
53,4104,11931.0,52.6,23.6,,Run
54,7524,24213.0,75.2,35.6,154.0,TrailRun
55,6955,22303.0,51.2,31.6,145.2,Run
56,2412,8239.0,54.6,54.6,135.7,Run
57,616,2033.0,54.4,54.4,121.0,Run
58,2508,8206.0,55.8,55.8,129.3,Run
59,4330,13319.0,76.8,42.0,,Run
60,2292,9441.0,99.2,89.0,163.4,Run
61,2436,4113.0,93.6,50.2,114.8,Run
62,8149,24255.0,79.0,35.6,148.5,TrailRun
63,3071,9581.0,49.2,37.2,,Run
64,6638,22133.0,46.2,29.6,128.4,Run
65,5262,13424.0,141.0,45.4,,TrailRun
66,5913,17298.0,141.2,36.8,124.3,TrailRun
67,3443,10521.0,1.8,-3.8,,Run
68,3506,11087.0,-4.8,-10.6,,Run
69,8893,30272.0,46.4,26.8,150.4,Run
70,3574,10521.0,59.6,45.6,,Run
71,783,2807.0,51.2,42.0,,Run
72,5353,15920.0,108.4,35.8,,Run
73,6876,24749.0,52.0,30.8,143.8,Run
74,3481,8300.0,51.8,32.6,,Run
75,12378,27912.0,2409.2,1381.8,147.9,TrailRun
76,3724,10087.0,1798.2,1381.0,,TrailRun
77,5486,13579.0,1735.4,1390.6,,TrailRun
78,6977,23299.0,52.2,29.6,141.8,Run
79,1785,5112.0,48.0,21.2,,Run
80,1818,5536.0,12.6,-0.2,,Run
81,4976,18579.0,10.0,-2.6,153.4,Run
82,5051,16049.0,14.6,-1.4,,TrailRun
83,3374,10326.0,6.2,-3.8,,Run
84,5167,15654.0,14.0,-3.6,,TrailRun
85,5374,20604.0,15.6,-1.4,157.4,Run
86,2343,7086.0,10.4,-3.2,157.5,Run
87,4442,15993.0,43.8,32.6,150.0,Run
88,2814,8154.0,58.8,34.0,,Run
89,6122,18326.0,134.2,32.4,136.7,Run
90,3792,8271.0,1367.4,1110.4,,TrailRun
91,9025,12435.0,1804.0,1118.6,,TrailRun
92,4913,16299.0,299.2,226.0,141.1,TrailRun
93,3340,9506.0,49.8,34.6,,Run
